ano,mes,tributo,decendio,arrecadacao_bruta,retificacao,compensacao,restituicao,outros,arrecadacao_liquida
2020,11,IR,1º decêndio,2617062085.97,1683908.92,536777531.35,-40394384.9,99490873.87,3214620015.21
2020,12,IR,3º decêndio,20556434957.64,500703.66,-1165916751.33,-668469751.08,1134450098.61,19856999257.5
2020,12,IR,1º decêndio,6806216904.04,4952475.42,-367587022.7,-150827267.63,154400701.73,6447155790.86
2020,12,IR,2º decêndio,13721432002.44,-546641.76,-1486189055.42,-47875541.62,725283987.69,12912104751.33
2020,1,IPI,1º decêndio,1170011481.31,124655.41,-46785543.32,-3325.39,3333928.16,1126681196.17
2020,1,IPI,2º decêndio,557461150.13,-58288.85,-6798747.67,-320792.51,75633600.51,625916921.61
2020,1,IPI,3º decêndio,2914918589.13,93163.6,-527854391.25,-78204314.4,65182393.78,2374135440.86
2020,2,IPI,3º decêndio,2123820514.33,-74450.57,-33096007.99,-27487960.94,56427208.04,2119589302.87
2020,2,IPI,2º decêndio,1042063192.14,250889.47,-93577692.72,-25194216.36,67097638.79,990639811.32
2020,2,IPI,1º decêndio,995478985.36,-2349244.24,-109830869.09,-3216302.52,2156641.02,882239210.53
2020,3,IPI,1º decêndio,1194514393.79,53338.96,-86890115.01,-8737788.41,1156646.35,1100096475.68
2020,3,IPI,2º decêndio,720304852.21,372246.91,-74854220.33,-7992881.57,61860772.69,699690769.91
2020,3,IPI,3º decêndio,2275537081.67,-94821.59,-96260627.31,-10485145.2,31700787.6,2200397275.17
2020,4,IPI,1º decêndio,1039917390.66,-13616307.9,-56161039.57,-32378586.29,2249822.72,940011279.62
2020,4,IPI,3º decêndio,1988586365.53,-649726.16,289634196.08,-23285829.6,40444171.36,2294729177.21
2020,4,IPI,2º decêndio,511040581.65,-36544.27,-137858900.2,-8575544.98,12338060.73,376907652.93
2020,5,IPI,2º decêndio,795393690.59,69436.25,-138985743.33,-8134220.27,16043148.92,664386312.16
2020,5,IPI,3º decêndio,1602755248.92,-773.31,159252223.85,-24967885.86,32003555.55,1769042369.15
2020,5,IPI,1º decêndio,803578050.57,-93971.2,-256743090.1,-547932.76,1677051.82,547870108.33
2020,6,IPI,2º decêndio,478716425.74,-10390.39,-32016201.68,-3158133.66,12768838.13,456300538.14
2020,6,IPI,1º decêndio,953090313.58,-860521.34,-50533034.38,-4592612.42,31356201.53,928460346.97
2020,6,IPI,3º decêndio,2083698591.82,14479.83,22436849.39,-26862375.8,47169066.83,2126456612.07
2020,7,IPI,1º decêndio,1112099558.19,-25203776.84,31857005.65,-15853384.44,3921046.09,1106820448.65
2020,7,IPI,3º decêndio,2504365016.42,-1624890.06,-5361893.12,-15190564.53,45943601.5,2528131270.21
2020,7,IPI,2º decêndio,539371420.63,500808.61,-44973413.05,-31395495.31,91816133.68,555319454.56
2020,8,IPI,1º decêndio,1078025007.35,-1277680.79,-151250250.33,-10250226.46,4202969.84,919449819.61
2020,8,IPI,2º decêndio,783053911.93,-452824.37,58276008.91,-4985469.16,98101245.16,933992872.47
2020,8,IPI,3º decêndio,2999888565.47,-2917.52,239586832.27,-60866008.23,94240259.91,3272846731.9
2020,9,IPI,2º decêndio,610560082.29,8804.09,67641144.85,-16467797.99,22950695.89,684692929.13
2020,9,IPI,3º decêndio,3636805591.04,27991.51,119845787.12,-19247968.85,151909914.88,3889341315.7
2020,9,IPI,1º decêndio,1244462877.54,-150312.03,-41198309.91,-18381761.09,4412807.47,1189145301.98
2020,10,IPI,2º decêndio,866974776.47,-248486.18,-350905562.48,-4524370.77,123187781.59,634484138.63
2020,10,IPI,1º decêndio,1314701639.36,-41767.87,52116596.57,-4560964.85,4134028.99,1366349532.2
2020,10,IPI,3º decêndio,3684234454.57,40413.07,99355516.62,-26256847.84,66980414.13,3824353950.55
2020,11,IPI,3º decêndio,3979577897.89,464505.32,361532938.48,-23480730.7,80545281.14,4398639892.13
2020,11,IPI,1º decêndio,1456491884.44,-269400.86,-161703460.11,-6795302.82,4965839.94,1292689560.59
2020,11,IPI,2º decêndio,1295326259.93,307709.53,-106223473.76,-832162.17,151023424.81,1339601758.34
2020,12,IPI,3º decêndio,3921322875.47,45465.45,75136468.15,-24193310.62,170755176.03,4143066674.48
2020,12,IPI,1º decêndio,1434729602.72,40548.01,76658222.23,-10212253.94,8128669.36,1509344788.38
2020,12,IPI,2º decêndio,859693808.51,220559.62,41277212.96,-55279707.5,36820531.49,882732405.08
2024,1,IR,1º decêndio,9257135078.76,9294501.58,120778779.79,-29659667.56,24863659.1,9382412351.67
2024,1,IR,3º decêndio,68136233800.71,139127624.98,-1088431191.8,-1095911040.98,148656881.08,66239676073.99
2024,1,IR,2º decêndio,30325156478.81,-5469729.88,-429285973.39,-17858476.74,562979454.22,30435521753.02
2024,2,IR,3º decêndio,29406977213.85,-9470030.54,-938333241.92,-828746707.32,119918336.75,27750345570.82
2024,2,IR,1º decêndio,5563938697.89,10593645.38,2881358046.0,-21000231.47,152153511.46,8587043669.26
2024,2,IR,2º decêndio,20767791073.89,-11768517.95,-714210196.38,-5379522.86,623339082.6,20659771919.3
2024,3,IR,1º decêndio,3714220839.9,9708694.14,-151114952.65,-18297496.07,45497022.35,3600014107.67
2024,3,IR,3º decêndio,27722848742.82,17354106.91,-835331115.23,-571922392.74,1392332778.33,27725282120.09
2024,3,IR,2º decêndio,24219236626.22,3561182.0,-55652975.35,-13898291.72,955759606.67,25109006147.82
2024,4,IR,1º decêndio,5964899101.34,19296821.94,16374518.59,-135506940.08,52290070.53,5917353572.32
2024,4,IR,3º decêndio,41010541607.08,48258020.24,-872679329.6,-1034868668.11,213554592.33,39364806221.94
2024,4,IR,2º decêndio,25928479976.05,34397277.86,-146272704.08,-8914001.69,971728693.81,26779419241.95
2024,5,IR,3º decêndio,41413798847.53,70346241.36,779838768.67,-10133774703.62,314842635.63,32445051789.57
2024,5,IR,2º decêndio,24210587844.61,70557536.31,-34735189.96,-3455175.27,1241840550.55,25484795566.24
2024,5,IR,1º decêndio,5162364259.73,139708077.07,594947127.41,-30028239.68,119859869.2,5986851093.73
2024,6,IR,1º decêndio,16663483255.52,50863453.39,640141352.46,-14794682.87,99710855.16,17439404233.66
2024,6,IR,2º decêndio,23808904116.68,56862922.99,-260212792.51,-8766017.68,1571451040.23,25168239269.71
2024,6,IR,3º decêndio,25804645920.63,37320103.05,723466156.19,-11421435642.07,256043430.73,15400039968.53
2024,7,IR,2º decêndio,22531493483.0,75669731.69,-298232142.5,-37996025.71,802317650.1,23073252696.61
2024,7,IR,3º decêndio,41757408388.0,218868306.9,114067741.7,-8910171024.0,288488146.8,33468661559.85
2024,7,IR,1º decêndio,6167686405.0,21655338.7,1419222838.0,-14266867.91,271989191.5,7866286905.28
2024,8,IR,1º decêndio,5369959075.29,308466675.39,308617380.7,-18152712.79,382046961.96,6350937380.55
2024,8,IR,2º decêndio,21646786483.52,291197117.96,-1647636505.29,-67547878.55,688133895.23,20910933112.87
2024,8,IR,3º decêndio,29494795100.32,86906703.99,-3102671975.25,-7460747034.17,188018535.92,19206301330.81
2024,1,IPI,1º decêndio,1505063600.03,4936251.09,51760656.06,-21466906.83,513642.75,1540807243.1
2024,1,IPI,3º decêndio,4136888012.52,8220218.79,-653782479.19,-97154658.86,2171541.44,3396342634.7
2024,1,IPI,2º decêndio,738697189.89,1572664.8,-531811193.28,-8091517.4,713449.28,201080593.29
2024,2,IPI,2º decêndio,807107453.37,-1398827.59,891350.81,-469358.77,2673212.05,808803829.87
2024,2,IPI,1º decêndio,1286153472.77,202276.0,62519198.98,-11889580.35,28012363.34,1364997730.74
2024,2,IPI,3º decêndio,3395763898.34,672940.05,-133094317.25,-59069976.88,28113967.82,3232386512.08
2024,3,IPI,3º decêndio,3596160862.78,2721389.42,56376189.59,-87990123.93,34055139.32,3601323457.18
2024,3,IPI,2º decêndio,1042250549.88,446136.03,899825211.81,-6185928.0,80897627.54,2017233597.26
2024,3,IPI,1º decêndio,1164679461.14,1317042.22,137433426.86,-14063173.64,4917388.64,1294284145.22
2024,4,IPI,2º decêndio,811646149.25,-1654929.52,-480344972.82,-6554315.31,54126838.73,377218770.33
