ano,mes,natureza_juridica_codigo,imposto_importacao,imposto_exportacao,ipi,irpf,irpj,irrf,iof,itr,cofins,pis_pasep,csll,cide_combustiveis,contribuicao_previdenciaria,cpsss,pagamento_unificado,outras_receitas_rfb,demais_receitas
2022,2,1228,,,,,,1134613.09,,,223.09,111988.38,74.36,,,,238608.1,2750.0,
2022,9,1236,,,,,40441.83,921.12,,30.0,105361.63,505753870.72,9492.29,,15669434.24,,12194012.51,98890.18,564458.03
2022,11,1236,,,,,68045.67,,,11.25,107121.72,467189971.03,9644.91,,82462788.59,,12117590.04,103594.41,629128.58
2022,8,1236,,,,,66362.93,559.67,,10.0,104376.3,503053540.4,9406.85,,18238461.91,,11721831.14,169108.93,654213.12
2022,12,1236,,,,,68572.18,16941.2,,,521221.96,473452829.82,9719.39,,130184075.69,,14867356.05,166205.04,887648.13
2022,3,1236,,,,,63864.67,310.5,,12.43,100300.27,445518676.86,9053.42,,18519802.31,,11217519.9,124637.55,581814.48
2022,4,1236,,,,,99858.2,32002.96,,83.64,101083.49,551633956.28,9121.33,,18784991.56,,10205845.35,296031.17,527279.73
2022,5,1236,,,,,64773.14,5676.74,,,101782.48,499160389.68,9181.95,,18131569.42,,14421247.63,377854.25,701725.86
2022,2,1236,,,,,63472.39,11.34,,10.0,99660.26,514833067.44,8997.92,,18379993.35,,10056461.8,356934.63,540781.09
2022,6,1236,,,,,65304.78,1360.59,,,102649.89,505762032.27,9257.15,,18179429.12,,11146191.59,525432.68,1002165.06
2022,7,1236,,,,,65831.3,985.64,,,103508.89,501849609.35,9331.64,,18248631.43,,12285363.6,819668.66,544658.95
2022,10,1236,,,,,94263.64,50145.01,,10.66,106262.71,557735754.98,9570.42,,15568386.61,,10937604.19,101963.32,563703.76
2022,1,1236,,,,,63095.56,,,20.0,99045.48,563205657.65,8944.61,,18244621.79,,10913534.49,95391.67,615880.3
2022,6,1244,,,,32447.22,118617.48,1449187.31,13245.31,5637.88,72008.36,594920447.82,18060.53,,149675266.32,15190.52,5489576.72,297632938.51,14438426.54
2022,5,1244,,,,,446152.51,354157.0,10280.99,19253.14,70620.95,548728330.16,22246.34,,91822280.36,1656.78,6208854.11,583011025.27,9062774.85
2022,3,1244,,,,,112160.55,382677.96,7693.5,25634.3,68617.27,593134151.45,38499.13,,114941274.8,1662.24,6151678.36,576491347.75,10815190.82
2022,9,1244,,,,,66114.8,869664.49,13216.61,16930.53,63725.03,555176031.2,22596.14,,132283968.87,1656.78,6561541.09,7837190.15,12541971.25
2022,7,1244,,,,,118105.82,281602.04,12981.29,342.98,120633.7,606744503.31,23707.59,,129440246.61,18465.79,6772113.85,17736289.43,14301445.73
2022,12,1244,,7219.26,,,14270.63,5531697.5,16183.15,793.27,49341.04,544498893.29,16149.3,,5301768539.12,12316.34,8407262.19,4587443.81,14190630.24
2022,8,1244,,,,,113921.42,392116.84,12534.53,12570.54,60089.25,572955656.92,16853.58,,140227615.48,1656.78,5991637.82,298447630.79,11914510.86
2022,11,1244,,,,,82992.22,545797.59,13821.32,5213.66,295954.92,538496963.58,16599.98,,2580095888.68,1656.78,5700161.06,4977416.2,12895261.64
2022,4,1244,,,,,107749.33,358909.97,12019.24,13672.82,58895.57,613778836.56,35271.83,,85997565.51,10573.99,5323691.26,8219012.93,8541309.38
